lat,lon,u850,v850,q850,z500,rh850,mslp,t2m,driver,share
6.75,86.5,2.2094493,2.6714656,2.806831,1.5706718,9.549846,2.743534,1.5874687,rh850,0.4127117
6.75,86.75,2.6630876,3.735173,1.6910827,1.1954582,10.770188,2.202738,1.6248691,rh850,0.4509639
6.75,87.0,2.1349425,1.3622655,3.3874683,1.386224,9.042462,2.6936738,1.685921,rh850,0.41683862
6.75,87.25,3.116879,2.417198,2.7574067,1.9555235,10.240837,2.4361591,1.2768003,rh850,0.42316106
6.75,87.5,3.6461735,3.74667,3.208227,1.6608934,10.269242,2.3412952,1.7115833,rh850,0.38629285
6.75,87.75,3.2974331,4.4580564,3.0886366,2.2109842,9.838417,2.8038,1.648048,rh850,0.35978356
6.75,88.0,3.1250927,2.657583,3.2613392,1.5305063,10.769572,2.7431874,1.7017084,rh850,0.41760352
6.75,88.25,2.7774673,4.393198,2.195571,1.8160931,10.791405,2.5372906,1.4435343,rh850,0.4157807
6.75,88.5,2.5205233,3.879132,2.7027326,2.1361744,9.838923,1.9974698,2.570915,rh850,0.38364553
6.75,88.75,2.9630451,1.6546358,2.7369747,1.6790636,8.191884,2.1688719,1.9049869,rh850,0.38460523
6.75,89.0,3.4799125,2.189776,2.492427,1.6389699,8.149524,2.1275856,1.9329295,rh850,0.3702457
6.75,89.25,2.3925562,2.5061462,2.6131752,1.733956,7.2125154,1.595255,1.8966717,rh850,0.3615246
6.75,89.5,2.1882,5.2909417,2.8481925,1.5751679,8.268955,2.1620414,2.1928525,rh850,0.33714578
6.75,89.75,2.7097645,1.8726265,2.678066,1.9906969,7.341406,1.9108691,1.2276627,rh850,0.37207296
6.75,90.0,2.2616932,2.044125,2.4295566,1.9716456,7.3271804,2.0431156,1.2519686,rh850,0.37907147
6.75,90.25,2.4388258,4.0748706,2.303807,1.8868765,7.9591684,1.9809273,1.9273965,rh850,0.3526145
6.75,90.5,2.95444,6.488577,2.5843434,1.9144906,7.9267964,1.9070629,1.8882244,rh850,0.3088691
6.75,90.75,2.0102553,2.6834114,2.2127466,1.7465202,7.1946783,1.6770012,1.8140526,rh850,0.37203592
6.75,91.0,3.0172849,6.2218947,2.2107375,1.8754091,8.32609,1.5917221,2.5598674,rh850,0.32267904
6.75,91.25,2.329396,4.8356676,2.7287633,1.6994745,7.584311,1.8662945,2.2551405,rh850,0.32552022
6.75,91.5,2.1433833,5.1185436,2.447921,1.7961901,8.214574,1.6960359,2.5860379,rh850,0.34223562
6.75,91.75,2.4636598,3.3970783,2.0834532,1.6011716,8.221499,1.9116845,2.1383805,rh850,0.37684044
6.75,92.0,1.8377573,2.8382204,2.077633,1.3839908,8.795176,1.5088317,2.1412842,rh850,0.4273051
